open_time,open,high,low,close,volume,status
1640995200000,46210.57,46944.56,46210.55,46766.78,16233.714,0
1641002400000,46767.44,46917.87,46709.44,46789.56,8687.705,0
1641009600000,46789.55,47566.66,46605.0,47184.18,21137.306,0
1641016800000,47184.19,47314.4,46867.0,47186.83,13702.713,0
1641024000000,47186.83,47338.0,46920.02,47137.37,11806.949,0
1641031200000,47137.01,47293.76,46700.09,46755.01,17614.338,0
1641038400000,46755.01,47200.0,46755.01,47005.55,11857.855,0
1641045600000,47005.55,47488.64,46830.23,47194.78,16435.875,0
1641052800000,47194.77,47943.77,47157.59,47733.16,22802.919,0
1641060000000,47733.16,47832.04,47278.67,47326.98,15663.577,0
1641067200000,47326.99,47549.98,47223.0,47322.2,11066.151,0
1641074400000,47322.19,47813.43,47202.47,47704.35,12424.482,0
1641081600000,47704.35,47745.61,47312.99,47381.21,12628.117,0
1641088800000,47381.21,47470.0,47263.28,47330.75,8212.064,0
1641096000000,47330.76,47418.65,46749.99,47077.7,20574.371,0
1641103200000,47076.58,47294.01,47005.3,47171.04,10742.189,0
1641110400000,47171.39,47500.0,46963.66,47263.18,13718.593,0
1641117600000,47263.18,47374.7,47121.53,47231.3,8489.814,0
1641124800000,47231.29,47453.05,47002.47,47133.07,14559.011,0
1641132000000,47133.08,47400.0,47006.66,47329.68,12233.129,0
1641139200000,47329.68,48000.0,47263.5,47402.3,32273.123,0
1641146400000,47401.6,47408.7,46605.68,46908.29,31590.327,0
1641153600000,46908.66,47185.65,46815.75,47023.47,8906.731,0
1641160800000,47020.94,47469.46,47014.81,47280.0,10867.624,0
1641168000000,47280.01,47288.28,46935.08,47117.42,10606.72,0
1641175200000,47117.42,47117.43,46717.26,46802.86,15685.161,0
1641182400000,46802.86,47217.37,46750.0,47083.37,13511.316,0
1641189600000,47083.37,47105.97,46857.38,47041.11,7821.928,0
1641196800000,47042.77,47133.97,46777.0,46979.01,13621.024,0
1641204000000,46979.02,47436.26,46978.91,47364.11,19614.556,0
